iso3c,year,value,indicator_sdg
NOR,2015,0.2,1.1.1
NOR,2016,0.3,1.1.1
NOR,2017,0.3,1.1.1
NOR,2018,0.3,1.1.1
NOR,2019,0.2,1.1.1
NOR,2020,0.3,1.1.1
NOR,2021,0.2,1.1.1
NOR,2022,0.3,1.1.1
NOR,2023,0.2,1.1.1
NOR,2024,0.2,1.1.1
NOR,2025,0.2,1.1.1
NOR,2015,0.5,10.1.1
NOR,2016,0.6,10.1.1
NOR,2017,0.6,10.1.1
NOR,2018,0.6,10.1.1
NOR,2019,0.6,10.1.1
NOR,2020,0.7,10.1.1
NOR,2021,0.6,10.1.1
NOR,2022,0.7,10.1.1
NOR,2023,0.6,10.1.1
NOR,2015,0,12.c.1
NOR,2016,0,12.c.1
NOR,2017,0,12.c.1
NOR,2018,0,12.c.1
NOR,2019,0,12.c.1
NOR,2020,0.0678741156,12.c.1
NOR,2021,0,12.c.1
NOR,2022,0,12.c.1
NOR,2023,0,12.c.1
NOR,2024,0,12.c.1
NOR,2015,11.76614455,13.2.2
NOR,2016,11.53800378,13.2.2
NOR,2017,11.43630206,13.2.2
NOR,2018,11.2979761,13.2.2
NOR,2019,10.9173589,13.2.2
NOR,2020,10.6217986,13.2.2
NOR,2021,10.70679989,13.2.2
NOR,2022,10.4900619,13.2.2
NOR,2023,10.27559273,13.2.2
NOR,2015,7.26813,14.1.1
NOR,2016,7.70408,14.1.1
NOR,2017,9.87532,14.1.1
NOR,2018,11.24683,14.1.1
NOR,2019,12.33291,14.1.1
NOR,2020,12.25308,14.1.1
NOR,2021,11.51611,14.1.1
NOR,2022,11.1156,14.1.1
NOR,2015,16.9,15.1.2
NOR,2016,17,15.1.2
NOR,2017,17.1,15.1.2
NOR,2018,17.1,15.1.2
NOR,2019,16.8,15.1.2
NOR,2020,17.6,15.1.2
NOR,2021,29.9,15.1.2
NOR,2022,30.5,15.1.2
NOR,2023,17.7,15.1.2
NOR,2024,17.8,15.1.2
NOR,2016,77.82208333,17.18.1
NOR,2017,81.61625,17.18.1
NOR,2018,89.1625,17.18.1
NOR,2019,89.09375,17.18.1
NOR,2020,89.46833333,17.18.1
NOR,2021,92.7625,17.18.1
NOR,2022,91.69916667,17.18.1
NOR,2023,93.55666667,17.18.1
NOR,2015,96.8103,17.8.1
NOR,2016,97.2982,17.8.1
NOR,2017,96.3576,17.8.1
NOR,2018,96.4917,17.8.1
NOR,2019,98,17.8.1
NOR,2020,94.6076,17.8.1
NOR,2021,99,17.8.1
NOR,2022,99,17.8.1
NOR,2023,99,17.8.1
NOR,2015,2.5,2.1.1
NOR,2016,2.5,2.1.1
NOR,2017,2.5,2.1.1
NOR,2018,2.5,2.1.1
NOR,2019,2.5,2.1.1
NOR,2020,2.5,2.1.1
NOR,2021,2.5,2.1.1
NOR,2022,2.5,2.1.1
NOR,2015,86,3.8.1
NOR,2017,86,3.8.1
NOR,2019,86,3.8.1
NOR,2021,87,3.8.1
NOR,2015,99.55799103,4.1.2
NOR,2016,99.20728302,4.1.2
NOR,2017,99.49916077,4.1.2
NOR,2018,99.47567749,4.1.2
NOR,2019,99.33802795,4.1.2
NOR,2020,99.18359375,4.1.2
NOR,2021,99.20449829,4.1.2
NOR,2022,99.27876282,4.1.2
NOR,2023,98.92648315,4.1.2
NOR,2015,99.20311052,6.1.1
NOR,2016,99.14882228,6.1.1
NOR,2017,99.09453739,6.1.1
NOR,2018,99.04024635,6.1.1
NOR,2019,98.9859634,6.1.1
NOR,2020,98.93168066,6.1.1
NOR,2021,98.87739581,6.1.1
NOR,2022,98.82311034,6.1.1
NOR,2015,100,7.1.1
NOR,2016,100,7.1.1
NOR,2017,100,7.1.1
NOR,2018,100,7.1.1
NOR,2019,100,7.1.1
NOR,2020,100,7.1.1
NOR,2021,100,7.1.1
NOR,2022,100,7.1.1
NOR,2023,100,7.1.1
NOR,2015,74809.9658,8.1.1
NOR,2016,75017.49448,8.1.1
NOR,2017,76247.41164,8.1.1
NOR,2018,76373.64746,8.1.1
NOR,2019,76712.28712,8.1.1
NOR,2020,75287.20595,8.1.1
NOR,2021,77812.71156,8.1.1
NOR,2022,79620.16355,8.1.1
NOR,2023,78775.84942,8.1.1
NOR,2024,79670.142,8.1.1
NOR,2015,77.546,8.5.1
NOR,2016,77.511,8.5.1
NOR,2017,76.948,8.5.1
NOR,2018,77.135,8.5.1
NOR,2019,77.547,8.5.1
NOR,2020,77.784,8.5.1
NOR,2021,77.628,8.5.1
NOR,2022,77.781,8.5.1
NOR,2023,78.067,8.5.1
NOR,2024,78.148,8.5.1
ECS,2015,99.16791752,7.1.1
ECS,2016,99.82900478,7.1.1
ECS,2017,99.96413289,7.1.1
ECS,2018,99.97079163,7.1.1
ECS,2019,99.95346686,7.1.1
ECS,2020,99.97603547,7.1.1
ECS,2021,99.98819724,7.1.1
ECS,2022,99.99773358,7.1.1
ECS,2023,100,7.1.1
ECS,2015,9.319380001,13.2.2
ECS,2016,9.316756311,13.2.2
ECS,2017,9.400486159,13.2.2
ECS,2018,9.415437291,13.2.2
ECS,2019,9.255092722,13.2.2
ECS,2020,8.784541744,13.2.2
ECS,2021,9.256899996,13.2.2
ECS,2022,9.116482547,13.2.2
ECS,2023,8.856485166,13.2.2
ECS,2015,13.23491771,15.1.2
ECS,2016,13.33244532,15.1.2
ECS,2017,13.36078602,15.1.2
ECS,2018,13.35376568,15.1.2
ECS,2019,13.37333923,15.1.2
ECS,2020,15.06670598,15.1.2
ECS,2021,15.6358111,15.1.2
ECS,2022,15.64345206,15.1.2
ECS,2023,15.50341599,15.1.2
ECS,2024,15.8588367,15.1.2
ECS,2015,69.8,17.8.1
ECS,2016,72.2,17.8.1
ECS,2017,74.5,17.8.1
ECS,2018,78.1,17.8.1
ECS,2019,80.3,17.8.1
ECS,2020,83.4,17.8.1
ECS,2021,86.4,17.8.1
ECS,2022,88.1,17.8.1
ECS,2023,89.7,17.8.1
ECS,2024,91.3,17.8.1
ECS,2015,22676.94946,8.1.1
ECS,2016,23000.1153,8.1.1
ECS,2017,23569.81604,8.1.1
ECS,2018,23974.69266,8.1.1
ECS,2019,24333.25318,8.1.1
ECS,2020,22973.61253,8.1.1
ECS,2021,24508.76403,8.1.1
ECS,2022,25308.03065,8.1.1
ECS,2023,25562.67206,8.1.1
ECS,2024,25871.19136,8.1.1
ECS,2015,97.23757935,4.1.2
ECS,2016,100.9993973,4.1.2
ECS,2017,96.58460999,4.1.2
ECS,2018,95.92053223,4.1.2
ECS,2019,97.2024231,4.1.2
ECS,2020,97.62017059,4.1.2
ECS,2021,98.04495239,4.1.2
ECS,2022,97.71247864,4.1.2
ECS,2023,98.09744263,4.1.2
ECS,2024,98.13168335,4.1.2
ECS,2015,91.35573728,6.1.1
ECS,2016,91.49547716,6.1.1
ECS,2017,91.63908594,6.1.1
ECS,2018,91.75496939,6.1.1
ECS,2019,91.87039462,6.1.1
ECS,2020,91.95001052,6.1.1
ECS,2021,91.98858294,6.1.1
ECS,2022,91.87324787,6.1.1
ECS,2015,79,3.8.1
ECS,2017,80,3.8.1
ECS,2019,81,3.8.1
ECS,2021,81,3.8.1
ECS,2015,1.7,10.1.1
ECS,2016,1.7,10.1.1
ECS,2017,1.7,10.1.1
ECS,2018,1.6,10.1.1
ECS,2019,1.5,10.1.1
ECS,2020,1.5,10.1.1
ECS,2021,1.4,10.1.1
ECS,2022,1.3,10.1.1
ECS,2023,1.3,10.1.1
ECS,2024,1.2,10.1.1
ECS,2015,63.02028903,8.5.1
ECS,2016,63.46953615,8.5.1
ECS,2017,63.81104049,8.5.1
ECS,2018,64.11381156,8.5.1
ECS,2019,64.30175612,8.5.1
ECS,2020,63.64488968,8.5.1
ECS,2021,64.58603707,8.5.1
ECS,2022,65.64506137,8.5.1
ECS,2023,66.14262954,8.5.1
ECS,2024,66.24096745,8.5.1
ECS,2015,2.719161016,2.1.1
ECS,2016,2.695853491,2.1.1
ECS,2017,2.669368807,2.1.1
ECS,2018,2.656394634,2.1.1
ECS,2019,2.682411353,2.1.1
ECS,2020,2.711423294,2.1.1
ECS,2021,2.764257078,2.1.1
ECS,2022,2.773510768,2.1.1
HIC,2015,99.44125601,7.1.1
HIC,2016,99.87493992,7.1.1
HIC,2017,99.95972177,7.1.1
HIC,2018,99.96265107,7.1.1
HIC,2019,99.94961001,7.1.1
HIC,2020,99.96830638,7.1.1
HIC,2021,99.9798913,7.1.1
HIC,2022,99.97980751,7.1.1
HIC,2023,99.98840502,7.1.1
HIC,2015,13.78742535,13.2.2
HIC,2016,13.62054868,13.2.2
HIC,2017,13.57834857,13.2.2
HIC,2018,13.64748386,13.2.2
HIC,2019,13.42253011,13.2.2
HIC,2020,12.50259193,13.2.2
HIC,2021,13.09439949,13.2.2
HIC,2022,12.99910032,13.2.2
HIC,2023,12.64469827,13.2.2
HIC,2015,14.47412219,15.1.2
HIC,2016,14.01981841,15.1.2
HIC,2017,14.46640597,15.1.2
HIC,2018,14.36394901,15.1.2
HIC,2019,14.67159876,15.1.2
HIC,2020,14.98200841,15.1.2
HIC,2021,15.66133343,15.1.2
HIC,2022,15.80398965,15.1.2
HIC,2023,16.07725223,15.1.2
HIC,2024,16.61128007,15.1.2
HIC,2015,78.3,17.8.1
HIC,2016,82.5,17.8.1
HIC,2017,84.2,17.8.1
HIC,2018,86.4,17.8.1
HIC,2019,87.5,17.8.1
HIC,2020,88.5,17.8.1
HIC,2021,90,17.8.1
HIC,2022,91.1,17.8.1
HIC,2023,92.3,17.8.1
HIC,2024,93.4,17.8.1
HIC,2015,36571.1929,8.1.1
HIC,2016,37014.99954,8.1.1
HIC,2017,37764.20302,8.1.1
HIC,2018,38525.15605,8.1.1
HIC,2019,39130.30153,8.1.1
HIC,2020,37514.0231,8.1.1
HIC,2021,39753.19225,8.1.1
HIC,2022,40751.20025,8.1.1
HIC,2023,41191.9725,8.1.1
HIC,2024,41716.07546,8.1.1
HIC,2015,98.07222748,4.1.2
HIC,2016,97.61107635,4.1.2
HIC,2017,98.04515076,4.1.2
HIC,2018,98.08737183,4.1.2
HIC,2019,98.25087738,4.1.2
HIC,2020,98.36949921,4.1.2
HIC,2021,98.65374756,4.1.2
HIC,2022,97.62670135,4.1.2
HIC,2023,97.93164063,4.1.2
HIC,2024,97.84256744,4.1.2
HIC,2015,95.20316863,6.1.1
HIC,2016,95.28829282,6.1.1
HIC,2017,95.36591047,6.1.1
HIC,2018,95.43824795,6.1.1
HIC,2019,95.51055744,6.1.1
HIC,2020,95.58504001,6.1.1
HIC,2021,94.20167625,6.1.1
HIC,2022,94.3030606,6.1.1
HIC,2015,84,3.8.1
HIC,2017,84,3.8.1
HIC,2019,85,3.8.1
HIC,2021,85,3.8.1
HIC,2015,1.2,10.1.1
HIC,2016,1.2,10.1.1
HIC,2017,1.2,10.1.1
HIC,2018,1.1,10.1.1
HIC,2019,1.1,10.1.1
HIC,2020,0.9,10.1.1
HIC,2021,0.9,10.1.1
HIC,2022,1,10.1.1
HIC,2023,1,10.1.1
HIC,2024,1,10.1.1
HIC,2015,65.3938914,8.5.1
HIC,2016,65.88231542,8.5.1
HIC,2017,66.37086064,8.5.1
HIC,2018,66.90935041,8.5.1
HIC,2019,67.44136981,8.5.1
HIC,2020,66.89000365,8.5.1
HIC,2021,67.78817345,8.5.1
HIC,2022,68.67502354,8.5.1
HIC,2023,69.31890407,8.5.1
HIC,2024,69.48522939,8.5.1
HIC,2015,2.669006331,2.1.1
HIC,2016,2.663421884,2.1.1
HIC,2017,2.650245199,2.1.1
HIC,2018,2.623317757,2.1.1
HIC,2019,2.630458585,2.1.1
