reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2022,6.780310826,2023,100,90.5,7.1.1,2015,94.95338273
,0.202020202,2024,40.4,40,8.5.1,2015,41.98
2050,0.8650428592,2024,60.2,28.8,17.8.1,2015,63.84113918
,1.542641345,2024,79.4,58.9,17.18.1,2016,72.89147657
,,2023,4.8,,10.1.1,,
,-0.4777305174,2025,9.64,8.1,1.1.1,2015,5.45
,-0.8482142857,2023,9.3,9.8,4.1.2,2015,10.30857143
,1.162280702,2023,72.6,70.9,43.0.0,2015,72.36631579
,1.3875,2023,72.9,67.9,45.0.0,2015,71.66
,,2024,0.1891068331,,42.0.0,,
2264,0.4332719951,2024,82.1,79.9,61.1.0,2015,84.58671225
2473,0.5203252033,2024,57.3,55.4,61.2.0,2015,59.11073171
,-0.08697461506,2024,54.4,55.1,61.3.0,2015,62.37512432
,1.744047619,2022,0.727,0.62,47.0.0,2015,0.680125
