reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2027,1.336253106,2023,98.3,95.4,7.1.1,2015,97.7903799
,2.627262601,2024,53.1,48.3,8.5.1,2015,50.17619048
2041,1.154783888,2024,66.5,26.8,17.8.1,2015,62.55740308
,0.4702845174,2024,73.7,67.4,17.18.1,2016,79.94532822
2249,0.46875,2023,3.6,3.9,10.1.1,2015,3.3025
2042,0.5467801858,2025,4.29,5.3,1.1.1,2015,3.525
,-2.636904762,2023,9.9,11,4.1.2,2015,11.315
,0.7492690058,2023,72.1,71,43.0.0,2015,72.46105263
,-7.025,2023,53.7,77.6,45.0.0,2015,80.375
,,2024,0.1771206328,,42.0.0,,
2065,1.887691911,2024,91.6,86.4,61.1.0,2015,89.48060353
,-1.873989945,2024,72.7,76.2,61.3.0,2015,77.73215686
,1.346938776,2022,1.225,1.089,47.0.0,2015,1.188571429
