reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2189,0.4525138791,2023,22.1,16.6,7.1.1,2015,29.82017659
,-0.07407407407,2024,62.4,62.5,8.5.1,2015,63.76666667
2082,0.5516031554,2024,19.7,3.8,17.8.1,2015,37.7958333
,0.8136457292,2024,46.3,33.1,17.18.1,2017,49.11541435
,,2020,26.1,,10.1.1,,
2216,0.7591593045,2025,81.13,84.3,1.1.1,2015,79.805
,0.744047619,2023,10.1,9.7,4.1.2,2015,10.22285714
,0.9570626146,2023,61.9,58.7,43.0.0,2015,62.03052965
,0.78125,2023,53.9,51.4,45.0.0,2015,54.6
,0,2022,0.5,0.5,42.0.0,2015,0.43
6163,0.04315401374,2024,11.9,11.7,61.1.0,2015,16.97053336
2235,1.362130027,2024,41,37.4,61.2.0,2015,40.08743233
2686,0.5444101947,2024,43.1,39.6,61.3.0,2015,46.46610963
,2.5,2022,0.14,0.105,47.0.0,2015,0.119
