reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2018,,2023,100,,7.1.1,,
2047,1.028550261,2024,54.6,15.3,17.8.1,2015,53.68354296
,0.1178571429,2024,74.6,73.2,17.18.1,2016,83.64234432
,,2019,4,,10.1.1,,
2025,0.8819139714,2025,3,4.4,1.1.1,2015,2.785
,3.854166667,2023,12,11.2,4.1.2,2015,11.465
,0.9375,2023,77.5,76,43.0.0,2015,77.6
,-1.5875,2023,66.1,72.1,45.0.0,2015,75.3
,,2024,0.108894216,,42.0.0,,
2109,1.247789338,2024,80.8,73,6.1.1,2015,79.47696935
,-0.7501672444,2024,46.9,48.8,6.1.1,2015,51.61521788
,-0.1481481481,2024,80.9,81.1,6.1.1,2015,82.36666667
,2.119047619,2022,0.709,0.583,47.0.0,2015,0.639
