reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2476,0.1673787239,2023,20.5,18.4,7.1.1,2015,32.15687892
,0.9947089947,2024,51.5,49.7,8.5.1,2015,51.50952381
2119,0.3398471737,2024,18.8,7.9,17.8.1,2015,45.20344858
,0.8306632361,2024,43.6,27,17.18.1,2016,46.40792373
,,2009,13.5,,10.1.1,,
2271,0.3513513514,2025,43.4,46,1.1.1,2015,38.24
,-1.89484127,2023,8.7,9.9,4.1.2,2015,10.39428571
,0.6622011395,2023,66.1,64.5,43.0.0,2015,66.84035982
,0.625,2023,48.8,47.3,45.0.0,2015,49.7
,,2024,0.2998393124,,42.0.0,,
2138,1.280650297,2024,40.1,27,61.1.0,2015,37.00559126
2321,1.277578861,2024,31.7,24.3,61.3.0,2015,30.28682212
,0.1360544218,2022,0.477,0.471,47.0.0,2015,0.5193333333
