reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2056,1.311117008,2023,81.3,67.3,7.1.1,2015,78.44054945
2049,0.8997218916,2024,59.1,25.8,17.8.1,2015,61.89964602
,0.4320887446,2024,53,45.6,17.18.1,2016,61.79747095
,,2017,5.7,,10.1.1,,
2123,0.3706640095,2025,13.03,14.8,1.1.1,2015,10.165
,3.854166667,2023,12,11.2,4.1.2,2015,11.465
,1.854166667,2023,69.7,66,43.0.0,2015,68.33333333
,2.104166667,2023,85.9,81.7,45.0.0,2015,84.1
,,2024,0.2048865938,,42.0.0,,
2475,0.3311577359,2024,36.7,33.2,6.1.1,2015,44.1777775
2086,2.501851852,2024,80.7,75.1,6.1.1,2015,77.35
,-6.640812036,2024,54.5,77.7,6.1.1,2015,79.13125
,-1.176870748,2022,0.453,0.507,47.0.0,2015,0.556
