reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2004,,2023,100,100,7.1.1,2015,
,3.214365881,2024,69.4,66.4,8.5.1,2015,67.40666667
2030,1.014950806,2024,90.4,77,17.8.1,2015,90.26780873
,1.07113113,2024,69.5,54.1,17.18.1,2016,68.52415962
,,2005,3,,10.1.1,,
2002,,2025,0,,1.1.1,,
,2.708333333,2023,12,11.5,4.1.2,2015,11.72666667
,1.531862745,2023,74.4,72.3,43.0.0,2015,73.67666667
,0.05,2023,66.2,66,45.0.0,2015,70
,,2024,0.255533115,,42.0.0,,
2067,2.133534103,2024,87.1,77.3,61.1.0,2015,82.6518368
2264,0.9681728555,2024,57.8,54.3,61.2.0,2015,57.92030661
2130,2.685434958,2024,78,73.5,61.3.0,2015,75.36819217
,0.2607709751,2022,2.466,2.415,47.0.0,2015,2.614027778
