reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2168,0.55451107,2023,21.7,16.2,7.1.1,2015,26.7731459
,-15.24919833,2024,65.5,75.3,8.5.1,2015,75.57
2070,0.6430757082,2024,28.3,6.5,17.8.1,2015,42.86725291
,1.87228156,2024,76.4,49.5,17.18.1,2016,63.23605299
,,2021,9.4,,10.1.1,,
2054,2.478101754,2025,34.59,52.6,1.1.1,2015,44.95
,-0.1538461538,2025,6.5,6.7,4.1.2,2015,7.828787879
,0.6760797086,2023,61.1,58.8,43.0.0,2015,62.1149741
,-1.6,2023,67.8,73.5,45.0.0,2015,76.7
,1.111111111,2024,0.7,0.8,42.0.0,2015,0.71
2155,1.238166633,2024,23.1,14.9,61.1.0,2015,21.26933529
2223,1.699626446,2024,61.5,48.3,61.3.0,2015,56.40528714
,2.071428571,2022,0.132,0.103,47.0.0,2015,0.117
