reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
,-0.1058201058,2024,44.9,45.1,8.5.1,2015,46.99
2016,6.088882219,2020,99.7,93.5,17.8.1,2015,96.18649858
,0.5483646676,2024,52,42.5,17.18.1,2016,59.13601787
,-1.25,2023,12.3,12.4,4.1.2,2015,12.48
,0.7988445378,2023,81.3,80.3,43.0.0,2015,81.51634454
,4.875,2023,57.4,43.9,45.0.0,2015,46.3
,2.857142857,2022,0.6,0.8,42.0.0,2015,0.73
,0,2024,98.9,98.9,61.1.0,2015,99.14666667
2009,,2024,99.5,99.2,61.2.0,2015,99.38
2000,,2024,99.86446038,,61.3.0,,
,,2023,23.09593506,,47.0.0,,
