reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2058,1.139461009,2023,76,62.1,7.1.1,2015,74.50985909
,6.113520194,2024,66.4,58.5,8.5.1,2015,59.99294118
2068,0.5262934825,2024,57.5,38.9,17.8.1,2015,69.76391025
,0.9243894577,2024,64.2,50.6,17.18.1,2016,65.2783701
,,2015,6.4,,10.1.1,,
2504,0.1106214689,2025,20.14,20.8,1.1.1,2015,15.05
,0,2023,10.6,10.6,4.1.2,2015,10.96
,2.714575875,2023,69.2,63.2,43.0.0,2015,65.77251959
,-1.33125,2023,70.5,74.8,45.0.0,2015,78
,0,2022,0.4,0.4,42.0.0,2015,
2114,1.149063786,2024,82.4,76,61.1.0,2015,81.68890269
,-0.04273504274,2024,71.7,71.8,61.2.0,2015,74.06923077
,-1.149432069,2024,63.3,68.7,61.3.0,2015,71.71480102
,-1.282282004,2022,1.642,1.827,47.0.0,2015,1.984045455
