reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2000,,2023,100,,7.1.1,,
2030,1.654548992,2024,87.3,53.7,17.8.1,2015,77.86874519
,0.6005494505,2024,79.3,72.6,17.18.1,2016,83.20234432
,,2023,1.3,,10.1.1,,
2012,,2025,0.0012,,1.1.1,,
,,2025,12.79982567,,4.1.2,,
,0.4375,2023,77.2,76.5,43.0.0,2015,78.1
,-1.6875,2023,57.9,63.3,45.0.0,2015,67.225
,,2024,0.193197253,,42.0.0,,
2153,0.5272904483,2024,93.6,92.7,6.1.1,2015,94.30945992
,1.787706709,2022,3.626,3.172,47.0.0,2015,3.419833613
