reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2054,1.879530773,2023,48.3,26.2,7.1.1,2015,38.8665827
1990,,2025,81.973,,8.5.1,,
2075,0.5759151174,2024,31.2,10,17.8.1,2015,47.98506054
,0.4919739633,2024,68.2,61.2,17.18.1,2016,74.89814073
,,2018,10.6,,10.1.1,,
2255,0.4045168456,2025,48.34,51.3,1.1.1,2015,43.565
,0.5587121212,2023,8.1,7.6,4.1.2,2015,8.462121212
,1.303030473,2023,67,63.9,43.0.0,2015,66.34742257
,1.6875,2023,84.7,80.9,45.0.0,2015,83.3
,1.428571429,2022,0.4,0.5,42.0.0,2015,0.43
2077,2.629792025,2024,48.8,22.1,61.1.0,2015,30.90220149
2241,1.451887346,2024,31.3,25.1,61.2.0,2015,29.48850046
2248,1.567762097,2024,51.3,39.8,61.3.0,2015,46.72702634
,2,2022,0.156,0.125,47.0.0,2015,0.139
