reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
,4.247086247,2024,67.2,62.3,8.5.1,2015,63.58
2039,0.7631962915,2024,83.6,69.8,17.8.1,2015,86.65245659
,1.554301801,2024,85.1,66.4,17.18.1,2016,79.97717787
2035,3.645833333,2023,1.1,1.9,10.1.1,2015,1.635
1963,,2025,0.26,0.7,1.1.1,2015,0.475
,,2025,12.81321049,,4.1.2,,
,0.7352941176,2023,78.6,77.6,43.0.0,2015,78.96
,3.875,2023,92.5,89.4,45.0.0,2015,90.2
,,2024,0.1596608989,,42.0.0,,
2506,0.1677746122,2024,90.8,90.4,61.1.0,2015,92.53790553
2363,0.373015873,2024,87.3,86.6,61.2.0,2015,88.41714286
,1.532737311,2022,4.666,4.191,47.0.0,2015,4.496818182
