reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2023,3.948305921,2023,99.3,93.2,7.1.1,2015,96.08010209
,-0.5555555556,2024,41.3,42.4,8.5.1,2015,44.38
2038,1.145945664,2024,74.7,42.5,17.8.1,2015,71.70444584
,0.861554863,2024,67.7,55.1,17.18.1,2016,69.93998966
,,2019,4.4,,10.1.1,,
2024,2.015014067,2025,2.5,5.8,1.1.1,2015,3.76
,6.833333333,2025,12.4,11.2,4.1.2,2015,11.5
,0.3774928775,2023,67.3,66.5,43.0.0,2015,68.50207977
,-1.175,2023,65.6,70.3,45.0.0,2015,73.58
,,2024,0.1774332938,,42.0.0,,
2262,0.2696078431,2024,94.2,93.8,61.1.0,2015,95.16063025
2325,0.7366806635,2024,62.2,59.5,61.2.0,2015,63.11337264
,0,2024,52.2,52.2,61.3.0,2015,59.98953493
,1.801412873,2022,1.161,0.991,47.0.0,2015,1.082461538
