reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2007,,2023,100,,7.1.1,,
2061,0.4115419202,2024,77.4,69,17.8.1,2015,86.22205196
,1.317157842,2024,85.7,72.2,17.18.1,2016,82.89164835
,,2023,2.6,,10.1.1,,
2007,,2025,0.1,,1.1.1,,
,,2025,12.79983139,,4.1.2,,
,0.6875,2023,71.2,70.1,43.0.0,2015,71.7
,4.625,2023,91.5,86.8,45.0.0,2015,88.4
,,2024,0.188723369,,42.0.0,,
2286,0.4348508062,2024,75.8,72.7,6.1.1,2015,79.25554078
2240,0.7555555556,2024,78.8,77.1,6.1.1,2015,79.35
2073,3.801346801,2024,90.6,86.9,6.1.1,2015,87.95666667
,2.058625117,2022,1.495,1.253,47.0.0,2015,1.3659125
