reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2021,4.342444888,2023,99.5,88,7.1.1,2015,93.35333265
,3.716095795,2024,34.8,28.1,8.5.1,2015,29.81578947
2039,1.404381724,2024,64.9,14.9,17.8.1,2015,53.29686443
,0.5911061569,2024,73.7,65.7,17.18.1,2016,78.61368532
,,2022,5.4,,10.1.1,,
2023,6.294218722,2025,1.5,15.9,1.1.1,2015,11.17
,1.25,2023,11.2,10.8,4.1.2,2015,11.12
,1.737625313,2023,72,69.3,43.0.0,2015,70.91214286
,-0.475,2023,65.2,67.1,45.0.0,2015,71.02
,,2024,0.3229123989,,42.0.0,,
2087,1.799838954,2024,76.4,61.2,61.1.0,2015,70.53374666
2037,8.095640045,2024,91.3,75.3,61.2.0,2015,77.55
2079,4.366961742,2024,84.5,78.9,61.3.0,2015,80.25625
,2.294243851,2022,1.174,0.96,47.0.0,2015,1.048666667
