reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2015,,2023,100,99.4,7.1.1,2015,99.755
,6.102305102,2024,68.4,61.5,8.5.1,2015,62.83333333
2039,1.037325717,2024,76.2,49.4,17.8.1,2015,75.49108664
,0.7277250292,2024,52,39.2,17.18.1,2016,56.37676334
,2.5,2023,12.5,12.3,4.1.2,2015,12.38
,0.4572368421,2023,71.2,70.5,43.0.0,2015,71.99210526
,,2024,0.1699462909,,42.0.0,,
,,2018,95.74292078,,61.1.0,,
,,2018,71.75288027,,61.3.0,,
,1.157037815,2022,1.466,1.328,47.0.0,2015,1.446213235
